#wavelength[nm] flux[nphotons] flux_uncert[nphotons]
200	65.3145	83.1793
202	64.9513	77.1907
204	37.7948	70.909
206	54.3224	67.1186
208	40.0184	62.5843
210	23.9843	58.6422
212	61.476	58.664
214	20.384	55.4873
216	5.66265	53.4733
218	43.0572	53.7333
220	68.6155	53.5294
222	52.9467	51.6911
224	50.8944	50.4654
226	80.9932	51.2871
228	88.2004	51.4579
230	125.335	52.8039
232	110.288	52.0986
234	136.568	53.0044
236	119.53	52.2277
238	117.207	52.0215
240	126.249	52.2585
242	144.956	52.8646
244	161.15	53.3663
246	145.063	52.641
248	180.456	53.8639
250	159.993	52.9829
252	126.838	51.6025
254	154.446	52.5492
256	119.075	51.0791
258	156.888	52.4203
260	134.347	51.4503
262	128.501	51.1157
264	159.68	52.3001
266	149.039	52.0261
268	148.662	52.1418
270	122.797	51.2778
272	185.443	53.7872
274	171.15	53.3864
276	208.986	54.9209
278	199.511	54.7078
280	239.663	56.3021
282	244.4	56.6083
284	236.57	56.4647
286	229.103	56.3333
288	269.804	57.9256
290	273.044	58.1799
292	230.276	56.7941
294	218.17	56.4953
296	270.431	58.5051
298	283.269	59.0329
300	217.379	56.7517
302	233.081	57.3984
304	217.642	56.9136
306	190.076	55.9737
308	267.131	58.8478
310	252.926	58.4195
312	216.498	57.1792
314	384.908	63.1203
316	528.661	67.8059
318	176.739	55.9375
320	200.179	56.8896
322	160.849	55.4929
324	146.318	55.016
326	166.361	55.8361
328	163.823	55.74
330	166.361	55.8361
332	167.207	55.8682
334	180.317	56.3622
336	321.574	61.4338
338	1175.04	85.9279
340	155.365	55.4181
342	170.59	55.9961
344	94.8868	53.0603
346	132.104	54.5233
348	88.12	52.7899
350	120.262	54.0621
352	121.954	54.1282
354	417.578	64.6539
356	173.974	56.1237
358	1349.7	90.1239
360	108.202	53.6816
362	76.9956	52.5315
364	92.0338	53.2321
366	91.3611	53.302
368	106.486	54.0005
370	131.94	55.0955
372	103.904	54.0939
374	145.346	55.8105
376	287.237	61.1277
378	82.9566	53.5532
380	375.662	64.3694
382	119.256	55.2093
384	84.5598	54.0615
386	95.4375	54.73
388	104.22	55.3144
390	72.0601	54.2596
392	84.3609	54.9963
394	164.453	58.3762
396	109.309	56.4777
398	151.173	58.3587
400	261.469	64.734
402	121.493	59.7523
404	173.932	61.8298
406	249.323	64.9429
408	93.9101	59.6254
410	96.5054	59.9044
412	83.8492	59.6386
414	102.526	60.6747
416	91.7378	60.5796
418	62.9991	60.2199
420	123.008	63.3731
422	69.5993	61.3572
424	108.868	62.9983
426	128.814	64.119
428	125.327	64.3539
430	79.1971	63.3466
432	87.634	64.5492
434	153.941	67.8935
436	113.924	67.2079
438	82.3555	66.2183
440	121.29	67.9524
442	107.651	67.8507
444	136.337	69.3701
446	73.7305	67.856
448	111.892	70.2786
450	116.828	71.0576
452	106.724	71.2801
454	31.1921	69.6012
456	95.7981	73.3892
458	92.9047	73.4476
460	51.6535	72.056
462	140.349	76.5034
464	81.0909	75.5488
466	85.2531	75.8922
468	87.1913	76.1723
470	95.8144	77.0681
472	111.003	78.2183
474	110.272	79.0595
476	80.4428	78.8334
478	108.772	81.0608
480	88.0652	81.5078
482	51.5956	81.339
484	78.4339	83.5651
486	56.1069	82.9831
488	80.3494	84.1533
490	21.5875	83.8431
492	99.5699	88.7153
494	29.1645	86.2423
496	92.6976	88.7257
498	46.4752	86.7559
500	36.4849	86.1801
502	102.641	90.3827
504	89.6291	91.6857
506	76.185	90.9067
508	61.0873	90.1295
510	59.6232	92.1965
512	76.4439	95.0953
514	9.59214	92.437
516	83.9446	95.1063
518	9.5425	92.7015
520	81.109	95.8827
522	64.99	97.0012
524	65.5319	98.8485
526	81.8819	99.7023
528	124.516	101.538
530	77.605	100.46
532	76.8365	101.096
534	56.2859	100.054
536	63.7774	100.12
538	123.261	105.324
540	144.125	109.465
542	83.1506	107.608
544	66.2024	107.339
546	105.547	111.419
548	131.109	115.109
550	89.2489	114.22
552	140.487	116.652
554	123.371	119.097
556	66.41	120.347
558	150.069	124.65
560	156.539	126.316
562	180.365	127.912
564	134.692	127.205
566	211.043	130.74
568	184.317	130.785
570	161.737	133.686
572	200.037	138.831
574	263.806	142.617
576	228.699	143.209
578	300.985	144.578
580	295.266	143.512
582	293.906	144.389
584	269.862	144.528
586	303.549	150.368
588	215.322	152.109
590	242.004	155.174
592	403.651	162.596
594	472.805	162.011
596	386.357	156.666
598	371.513	158.476
600	375.581	160.983
602	396.298	162.189
604	307.501	159.743
606	441.883	164.152
608	487.941	165.661
610	394.243	168.623
612	502.845	178.548
614	432.149	176.636
616	499.523	179.178
618	422.519	175.592
620	413.263	174.281
622	411.966	187.527
624	352.283	201.435
626	220.057	213.013
628	445.513	235.716
630	603.457	208.065
632	422.403	178.175
634	532.268	184.801
636	469.454	185.658
638	384.704	181.83
640	514.759	185.582
642	513.66	186.306
644	511.235	187.021
646	458.367	187.92
648	415.111	189.259
650	426.926	191.24
652	417.266	192.497
654	327.236	191.243
656	311.523	192.665
658	273.808	193.221
660	406.299	199.916
662	297.686	198.718
664	329.468	202.539
666	194.843	210.949
668	86.9937	223.037
670	330.508	342.312
672	0	473.582
674	0	312.183
676	309.099	209.622
678	189.65	208.318
680	212.602	212.348
682	256.281	210.695
684	175.286	205.101
686	225.424	211.389
688	156.446	213.468
690	123.705	211.65
692	369.487	220.837
694	255.217	220.764
696	332.219	228.197
698	118.388	222.757
700	120.682	225.586
702	146.175	256.884
704	207.998	300.511
706	0	262.753
708	105.268	244.81
